"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"FRW00034067","1958-12-09","48.43333","4.48333","120.1","BRIENNE, FR","   33",",,X","    0",",,X","    0",",,X","   44",",,X","  -72",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-12-10","48.43333","4.48333","120.1","BRIENNE, FR","   33",",,X","    0",",,X","    0",",,X","   72",",,X","   44",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-12-11","48.43333","4.48333","120.1","BRIENNE, FR","   81",",,X","    0",",,X","    0",",,X","   89",",,X","   39",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-12-12","48.43333","4.48333","120.1","BRIENNE, FR","   30",",,X","    0",",,X","    0",",,X","  106",",,X","   39",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-12-13","48.43333","4.48333","120.1","BRIENNE, FR","   66",",,X","    0",",,X","    0",",,X","  100",",,X","   61",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-12-14","48.43333","4.48333","120.1","BRIENNE, FR","   25",",,X","    0",",,X","    0",",,X","   83",",,X","   56",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-12-15","48.43333","4.48333","120.1","BRIENNE, FR","   23",",,X","    0",",,X","    0",",,X","   89",",,X","   56",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-12-16","48.43333","4.48333","120.1","BRIENNE, FR","   43",",,X","    0",",,X","    0",",,X","  100",",,X","   61",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-12-17","48.43333","4.48333","120.1","BRIENNE, FR","   30",",,X","    0",",,X","    0",",,X","   94",",,X","   72",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-12-18","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  111",",,X","   56",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1963-01-02","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-03","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-04","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0","T,,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-07","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-08","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0","T,,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-09","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-10","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-11","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-14","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0","T,,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-15","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0","T,,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-16","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0","T,,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-17","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-18","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-21","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-22","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-23","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-24","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-25","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-28","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-01-29","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0","T,,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-01","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-04","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-05","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-06","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-07","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-08","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-11","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-12","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-13","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0","T,,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-14","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
"FRW00034067","1963-02-15","48.43333","4.48333","120.1","BRIENNE, FR",,,,,"    0",",,X",,,,,,,,,,,,,,,,,,
